"Date","Water","rd18.5"
2011-01-17,"Rewatered  drought",0.66917561644
2011-01-17,"Sustained drought",0.475857462956522
2011-01-17,"Well watered",0.650503810095238
2011-01-24,"Rewatered  drought",0.583212327736842
2011-01-24,"Sustained drought",0.477933337611111
2011-01-24,"Well watered",0.6379333308
2011-02-01,"Rewatered  drought",0.6290440783
2011-02-01,"Sustained drought",0.6187778557
2011-02-01,"Well watered",0.7968767069
2011-02-17,"Rewatered  drought",0.5332473538
2011-02-17,"Sustained drought",0.590147914428571
2011-02-17,"Well watered",0.596522764307692
2011-02-25,"Rewatered  drought",0.111996365
2011-02-25,"Sustained drought",0.095703283
2011-02-25,"Well watered",0.762376337571429
2011-02-28,"Rewatered  drought",0.4297180947
2011-02-28,"Sustained drought",0.4033511479
2011-02-28,"Well watered",0.5731902598
2011-03-21,"Rewatered  drought",0.1234344131
2011-03-21,"Sustained drought",0.144774238
2011-03-21,"Well watered",0.566968059666667
