Date,Time,aCaT,aCeT,eCaT,eCeT
17/01/2011,7:07:19,435,437,686,683
17/01/2011,7:17:19,457,434,685,689
17/01/2011,7:27:19,447,433,655,667
17/01/2011,7:37:19,454,435,659,688
17/01/2011,7:47:19,433,449,662,688
17/01/2011,7:57:19,464,428,680,669
17/01/2011,8:07:19,425,443,685,666
17/01/2011,8:17:19,457,469,667,682
17/01/2011,8:27:19,432,447,664,689
17/01/2011,8:37:19,423,434,659,668
17/01/2011,8:47:19,439,442,669,672
17/01/2011,8:57:19,440,468,689,665
17/01/2011,9:07:19,385,408,639,642
17/01/2011,9:17:19,400,409,644,636
17/01/2011,9:27:19,412,392,646,641
17/01/2011,9:37:19,410,402,633,647
17/01/2011,9:47:19,407,403,633,635
17/01/2011,9:57:19,410,416,641,658
17/01/2011,10:07:19,393,406,654,658
17/01/2011,10:17:19,414,391,653,644
17/01/2011,10:27:19,407,396,632,632
17/01/2011,10:37:19,390,399,641,632
17/01/2011,10:47:19,398,406,637,637
17/01/2011,10:57:19,405,396,642,644
17/01/2011,11:07:19,390,387,640,650
17/01/2011,11:17:19,414,414,637,632
17/01/2011,11:27:19,402,415,640,639
17/01/2011,11:37:19,400,410,653,642
17/01/2011,11:47:19,413,402,652,654
17/01/2011,11:57:19,386,412,650,659
17/01/2011,12:07:19,397,390,641,631
17/01/2011,12:17:19,407,403,649,646
17/01/2011,12:27:19,408,412,640,643
17/01/2011,12:37:19,402,414,634,658
17/01/2011,12:47:19,387,410,647,632
17/01/2011,12:57:19,389,390,652,637
17/01/2011,13:07:19,408,388,642,639
17/01/2011,13:17:19,389,395,643,642
17/01/2011,13:27:19,412,388,645,633
17/01/2011,13:37:19,412,399,635,643
17/01/2011,13:47:19,406,406,646,644
17/01/2011,13:57:19,393,399,645,655
17/01/2011,14:07:19,391,388,635,647
17/01/2011,14:17:19,408,385,656,631
17/01/2011,14:27:19,415,411,639,654
17/01/2011,14:37:19,384,411,632,651
17/01/2011,14:47:19,426,461,688,674
17/01/2011,14:57:19,461,445,680,667
17/01/2011,15:07:19,432,458,679,679
17/01/2011,15:17:19,442,457,666,683
17/01/2011,15:27:19,433,463,675,680
17/01/2011,15:37:19,437,456,686,689
17/01/2011,15:47:19,435,467,659,667
17/01/2011,15:57:19,425,470,664,670
17/01/2011,16:07:19,441,444,668,673
17/01/2011,16:17:19,443,465,677,675
17/01/2011,16:27:19,431,446,678,661
17/01/2011,16:37:19,461,439,691,681
17/01/2011,16:47:19,423,436,672,678
17/01/2011,16:57:19,457,451,683,666
17/01/2011,17:07:19,434,470,687,669
17/01/2011,17:17:19,390,403,641,646
17/01/2011,17:27:19,388,402,654,648
17/01/2011,17:37:19,385,401,650,637
17/01/2011,17:47:19,391,410,633,660
17/01/2011,17:57:19,392,390,654,660
18/01/2011,7:07:19,412,401,655,634
18/01/2011,7:17:19,390,419,651,639
18/01/2011,7:27:19,397,393,640,631
18/01/2011,7:37:19,409,386,639,640
18/01/2011,7:47:19,390,387,646,650
18/01/2011,7:57:19,390,405,649,645
18/01/2011,8:07:19,406,411,649,633
18/01/2011,8:17:19,383,417,638,635
18/01/2011,8:27:19,382,388,636,657
18/01/2011,8:37:19,394,413,631,659
18/01/2011,8:47:19,385,389,639,654
18/01/2011,8:57:19,405,389,653,652
18/01/2011,9:07:19,414,405,656,637
18/01/2011,9:17:19,394,399,654,647
18/01/2011,9:27:19,392,407,654,636
18/01/2011,9:37:19,400,411,638,649
18/01/2011,9:47:19,398,409,655,632
18/01/2011,9:57:19,383,405,639,652
18/01/2011,10:07:19,389,394,653,632
18/01/2011,10:17:19,409,402,643,635
18/01/2011,10:27:19,397,415,634,648
18/01/2011,10:37:19,382,389,654,641
18/01/2011,10:47:19,397,393,655,630
18/01/2011,10:57:19,394,392,646,653
18/01/2011,11:07:19,396,409,632,643
18/01/2011,11:17:19,405,406,631,642
18/01/2011,11:27:19,390,393,632,634
18/01/2011,11:37:19,402,418,646,646
18/01/2011,11:47:19,393,403,646,637
18/01/2011,11:57:19,441,463,659,677
18/01/2011,12:07:19,449,462,671,663
18/01/2011,12:17:19,438,434,668,686
18/01/2011,12:27:19,462,433,658,678
18/01/2011,12:37:19,449,464,669,663
18/01/2011,12:47:19,454,439,657,686
18/01/2011,12:57:19,461,438,678,677
18/01/2011,13:07:19,430,446,689,680
18/01/2011,13:17:19,465,432,678,685
18/01/2011,13:27:19,427,444,655,676
18/01/2011,13:37:19,467,436,675,668
18/01/2011,13:47:19,464,465,676,663
18/01/2011,13:57:19,423,468,672,668
18/01/2011,14:07:19,439,465,658,683
18/01/2011,14:17:19,445,458,673,679
18/01/2011,14:27:19,411,397,631,655
18/01/2011,14:37:19,406,399,646,659
18/01/2011,14:47:19,386,407,643,645
18/01/2011,14:57:19,409,387,641,658
18/01/2011,15:07:19,389,409,648,644
18/01/2011,15:17:19,394,385,644,653
18/01/2011,15:27:19,385,389,638,641
18/01/2011,15:37:19,395,387,657,655
18/01/2011,15:47:19,382,398,645,653
18/01/2011,15:57:19,397,406,656,638
18/01/2011,16:07:19,405,417,648,632
18/01/2011,16:17:19,409,403,631,643
18/01/2011,16:27:19,386,397,645,652
18/01/2011,16:37:19,403,413,631,653
18/01/2011,16:47:19,402,388,636,644
18/01/2011,16:57:19,387,390,655,650
18/01/2011,17:07:19,389,402,639,654
18/01/2011,17:17:19,388,397,638,655
18/01/2011,17:27:19,393,419,653,631
18/01/2011,17:37:19,382,416,642,634
18/01/2011,17:47:19,406,388,651,656
18/01/2011,17:57:19,394,401,641,638
19/01/2011,7:07:19,383,408,634,641
19/01/2011,7:17:19,397,414,654,651
19/01/2011,7:27:19,409,391,643,630
19/01/2011,7:37:19,393,402,653,650
19/01/2011,7:47:19,389,415,645,634
19/01/2011,7:57:19,415,414,634,630
19/01/2011,8:07:19,385,411,641,657
19/01/2011,8:17:19,397,388,647,654
19/01/2011,8:27:19,391,402,650,644
19/01/2011,8:37:19,392,389,632,630
19/01/2011,8:47:19,403,398,651,657
19/01/2011,8:57:19,392,406,651,631
19/01/2011,9:07:19,432,458,662,663
19/01/2011,9:17:19,454,467,665,666
19/01/2011,9:27:19,450,443,657,664
19/01/2011,9:37:19,427,458,673,675
19/01/2011,9:47:19,427,465,690,689
19/01/2011,9:57:19,441,442,668,683
19/01/2011,10:07:19,437,438,684,688
19/01/2011,10:17:19,455,440,671,671
19/01/2011,10:27:19,428,438,677,668
19/01/2011,10:37:19,449,461,666,670
19/01/2011,10:47:19,435,428,670,667
19/01/2011,10:57:19,451,459,667,661
19/01/2011,11:07:19,449,439,674,668
19/01/2011,11:17:19,458,451,688,680
19/01/2011,11:27:19,428,446,670,673
19/01/2011,11:37:19,410,389,639,630
19/01/2011,11:47:19,385,405,634,635
19/01/2011,11:57:19,390,411,635,645
19/01/2011,12:07:19,395,413,650,642
19/01/2011,12:17:19,396,393,636,642
19/01/2011,12:27:19,409,391,643,659
19/01/2011,12:37:19,412,394,638,634
19/01/2011,12:47:19,382,415,632,653
19/01/2011,12:57:19,397,409,648,635
19/01/2011,13:07:19,395,396,656,631
19/01/2011,13:17:19,386,396,657,655
19/01/2011,13:27:19,391,406,640,650
19/01/2011,13:37:19,398,404,648,637
19/01/2011,13:47:19,413,389,640,634
19/01/2011,13:57:19,396,411,648,640
19/01/2011,14:07:19,398,402,656,655
19/01/2011,14:17:19,407,412,632,660
19/01/2011,14:27:19,386,413,636,651
19/01/2011,14:37:19,389,418,642,645
19/01/2011,14:47:19,396,386,651,646
19/01/2011,14:57:19,387,395,631,640
19/01/2011,15:07:19,388,415,651,659
19/01/2011,15:17:19,397,417,639,633
19/01/2011,15:27:19,407,385,632,636
19/01/2011,15:37:19,386,408,655,635
19/01/2011,15:47:19,383,415,646,652
19/01/2011,15:57:19,413,411,644,643
19/01/2011,16:07:19,411,411,632,648
19/01/2011,16:17:19,414,412,633,655
19/01/2011,16:27:19,409,399,646,644
19/01/2011,16:37:19,413,406,649,651
19/01/2011,16:47:19,410,399,642,632
19/01/2011,16:57:19,404,410,638,644
19/01/2011,17:07:19,399,404,654,658
19/01/2011,17:17:19,438,432,664,664
19/01/2011,17:27:19,465,432,659,684
19/01/2011,17:37:19,462,436,668,675
19/01/2011,17:47:19,463,462,689,679
19/01/2011,17:57:19,431,452,673,666
20/01/2011,7:07:19,461,430,688,664
20/01/2011,7:17:19,438,447,668,687
20/01/2011,7:27:19,424,440,661,663
20/01/2011,7:37:19,443,447,686,668
20/01/2011,7:47:19,442,456,682,661
20/01/2011,7:57:19,452,437,655,664
20/01/2011,8:07:19,446,451,678,678
20/01/2011,8:17:19,447,449,664,672
20/01/2011,8:27:19,441,453,674,675
20/01/2011,8:37:19,453,471,676,679
20/01/2011,8:47:19,386,398,649,631
20/01/2011,8:57:19,408,412,647,644
20/01/2011,9:07:19,387,414,654,638
20/01/2011,9:17:19,392,407,634,652
20/01/2011,9:27:19,402,404,651,650
20/01/2011,9:37:19,411,395,657,650
20/01/2011,9:47:19,394,414,648,640
20/01/2011,9:57:19,413,415,648,653
20/01/2011,10:07:19,392,397,646,641
20/01/2011,10:17:19,396,407,646,650
20/01/2011,10:27:19,393,413,641,646
20/01/2011,10:37:19,392,411,635,656
20/01/2011,10:47:19,399,408,640,637
20/01/2011,10:57:19,393,388,649,630
20/01/2011,11:07:19,386,401,645,635
20/01/2011,11:17:19,396,395,643,653
20/01/2011,11:27:19,386,386,655,634
20/01/2011,11:37:19,413,404,631,638
20/01/2011,11:47:19,395,389,647,640
20/01/2011,11:57:19,383,403,639,653
20/01/2011,12:07:19,385,419,639,649
20/01/2011,12:17:19,414,396,643,653
20/01/2011,12:27:19,389,402,657,642
20/01/2011,12:37:19,383,388,657,642
20/01/2011,12:47:19,391,412,633,646
20/01/2011,12:57:19,396,401,637,655
20/01/2011,13:07:19,402,391,632,636
20/01/2011,13:17:19,396,388,641,640
20/01/2011,13:27:19,383,415,647,648
20/01/2011,13:37:19,383,385,639,635
20/01/2011,13:47:19,415,407,640,633
20/01/2011,13:57:19,398,404,655,655
20/01/2011,14:07:19,397,414,642,646
20/01/2011,14:17:19,403,414,650,655
20/01/2011,14:27:19,445,434,688,669
20/01/2011,14:37:19,468,430,690,662
20/01/2011,14:47:19,447,433,686,677
20/01/2011,14:57:19,462,452,679,679
