Date,Time,aCaT,aCeT,eCaT,eCeT
17/01/2011,0:00:00,100,100,100,100
17/01/2011,0:15:00,100,100,100,100
17/01/2011,0:30:00,100,100,100,100
17/01/2011,0:45:00,100,100,100,100
17/01/2011,1:00:00,100,100,100,100
17/01/2011,1:15:00,100,100,100,100
17/01/2011,1:30:00,100,100,100,100
17/01/2011,1:45:00,100,100,100,100
17/01/2011,2:00:00,100,100,100,100
17/01/2011,2:15:00,100,100,100,100
17/01/2011,2:30:00,100,100,100,100
17/01/2011,2:45:00,100,100,100,100
17/01/2011,3:00:00,100,100,100,100
17/01/2011,3:15:00,100,100,100,100
17/01/2011,3:30:00,100,100,100,100
17/01/2011,3:45:00,100,100,100,100
17/01/2011,4:00:00,100,100,100,100
17/01/2011,4:15:00,100,100,100,100
17/01/2011,4:30:00,100,100,100,100
17/01/2011,4:45:00,100,100,100,100
17/01/2011,5:00:00,100,100,100,100
17/01/2011,5:15:00,100,100,100,91
17/01/2011,5:30:00,91,92,94,98
17/01/2011,5:45:00,98,91,93,99
17/01/2011,6:00:00,79,81,69,65
17/01/2011,6:15:00,72,67,83,81
17/01/2011,6:30:00,70,70,72,68
17/01/2011,6:45:00,68,64,82,67
17/01/2011,7:00:00,66,60,65,61
17/01/2011,7:15:00,74,67,71,70
17/01/2011,7:30:00,75,67,70,67
17/01/2011,7:45:00,63,80,75,65
17/01/2011,8:00:00,65,75,77,67
17/01/2011,8:15:00,61,76,79,60
17/01/2011,8:30:00,66,56,75,57
17/01/2011,8:45:00,74,76,65,77
17/01/2011,9:00:00,69,73,74,65
17/01/2011,9:15:00,64,80,72,63
17/01/2011,9:30:00,79,61,77,71
17/01/2011,9:45:00,63,72,69,82
17/01/2011,10:00:00,58,73,61,65
17/01/2011,10:15:00,68,60,79,83
17/01/2011,10:30:00,62,56,61,81
17/01/2011,10:45:00,59,80,71,57
17/01/2011,11:00:00,71,69,75,62
17/01/2011,11:15:00,61,63,79,80
17/01/2011,11:30:00,77,81,63,57
17/01/2011,11:45:00,66,79,65,74
17/01/2011,12:00:00,78,77,71,62
17/01/2011,12:15:00,79,61,79,69
17/01/2011,12:30:00,69,77,75,65
17/01/2011,12:45:00,70,79,77,65
17/01/2011,13:00:00,61,63,70,83
