Date,Time,aCaT,aCeT,eCaT,eCeT
17/01/2011,0:00:00,18.4,19.3,18.7,19.3
17/01/2011,0:15:00,18.4,19,18.4,19
17/01/2011,0:30:00,18.4,19,18.4,19
17/01/2011,0:45:00,18.4,18.8,18.4,18.8
17/01/2011,1:00:00,18.4,18.8,18.4,18.8
17/01/2011,1:15:00,18.1,18.8,18.6,18.8
17/01/2011,1:30:00,18.1,18.8,18.6,18.8
17/01/2011,1:45:00,18.4,18.8,18.9,18.8
17/01/2011,2:00:00,18.4,18.8,15.6,18.8
17/01/2011,2:15:00,18.1,18.8,16.3,19
17/01/2011,2:30:00,18.1,18.8,17.1,19
17/01/2011,2:45:00,18.1,18.8,17.4,18.8
17/01/2011,3:00:00,18.1,18.5,17.6,18.8
17/01/2011,3:15:00,18.1,18.5,18,18.8
17/01/2011,3:30:00,18.1,18.3,18.2,18.5
17/01/2011,3:45:00,17.9,18.3,18.2,18.5
17/01/2011,4:00:00,17.9,20.3,18.2,18.3
17/01/2011,4:15:00,17.9,19.4,18.5,18.3
17/01/2011,4:30:00,17.9,18.9,18.5,18.3
17/01/2011,4:45:00,17.9,18.5,18.5,18.3
17/01/2011,5:00:00,17.9,18.5,18.5,18.3
17/01/2011,5:15:00,17.9,18.3,18.5,18.3
17/01/2011,5:30:00,17.9,18.3,18.5,18.3
17/01/2011,5:45:00,17.9,18.3,18.5,18.3
17/01/2011,6:00:00,19.6,24.7,18.7,25.1
17/01/2011,6:15:00,19.3,23.3,19,24.9
17/01/2011,6:30:00,19.3,24.4,19.5,23.6
17/01/2011,6:45:00,19.6,23,19.8,24.6
17/01/2011,7:00:00,19.6,23.4,20.1,24.2
17/01/2011,7:15:00,20,23.7,20.4,23
17/01/2011,7:30:00,20.5,24.1,21,23.3
17/01/2011,7:45:00,21,23.6,21.6,23.3
17/01/2011,8:00:00,22.8,24,23.5,23.9
17/01/2011,8:15:00,21.4,25.8,20.3,25.8
17/01/2011,8:30:00,22.9,28.4,23.3,29
17/01/2011,8:45:00,20.3,25.1,20.2,26.5
17/01/2011,9:00:00,21.9,26.2,21.8,26.7
17/01/2011,9:15:00,20.7,27.2,21,25.5
17/01/2011,9:30:00,20.5,25.7,20.6,24.9
17/01/2011,9:45:00,22.1,28.6,22.5,28.6
17/01/2011,10:00:00,28.8,32.2,28.5,33
17/01/2011,10:15:00,26.3,34.8,27,32.4
17/01/2011,10:30:00,28.1,34.9,26,32.1
17/01/2011,10:45:00,26.8,31.8,30,33
17/01/2011,11:00:00,26.4,32.8,29.6,34.6
17/01/2011,11:15:00,29.9,33.2,26.6,32.8
17/01/2011,11:30:00,28,33.4,27.6,34.4
17/01/2011,11:45:00,28.2,34.7,29.2,31.7
17/01/2011,12:00:00,28.9,34.8,26.8,34.1
17/01/2011,12:15:00,26.7,33.3,28.4,32.4
17/01/2011,12:30:00,26.4,33.7,26.4,34.1
17/01/2011,12:45:00,29.8,34.7,29.2,33.8
17/01/2011,13:00:00,28.6,34.8,28.8,33.2
17/01/2011,13:15:00,27.8,31.8,28.3,34.1
17/01/2011,13:30:00,28,32.4,29.1,35
17/01/2011,13:45:00,27.6,34.6,28.4,33.9
17/01/2011,14:00:00,27.7,33.7,26.3,33
17/01/2011,14:15:00,28,33.1,28.4,34.4
17/01/2011,14:30:00,27.9,32.6,26.2,34.4
17/01/2011,14:45:00,28.5,34.6,29.1,30.9
17/01/2011,15:00:00,26.6,33,26.7,30.8
17/01/2011,15:15:00,29.1,34.3,29,33.4
17/01/2011,15:30:00,29.8,33.5,28.6,33.7
17/01/2011,15:45:00,26.4,32.4,28.4,30.8
17/01/2011,16:00:00,23.4,27.5,25,27
17/01/2011,16:15:00,24.8,28.3,23.6,29.2
17/01/2011,16:30:00,25.2,30.9,22.5,29.8
17/01/2011,16:45:00,23.5,27.7,25.1,29.5
17/01/2011,17:00:00,24.4,27.6,22.8,31
17/01/2011,17:15:00,22.6,30.9,22.5,28.8
17/01/2011,17:30:00,22.7,30,23.6,29.3
17/01/2011,17:45:00,25.3,27.4,23.1,28.5
17/01/2011,18:00:00,25.8,29.7,22.4,30.5
17/01/2011,18:15:00,23.5,29.4,23.8,30.7
17/01/2011,18:30:00,25.5,28.9,24.6,29.7
17/01/2011,18:45:00,23.7,28.6,23,29.4
17/01/2011,19:00:00,23.8,27.6,24.3,28.2
17/01/2011,19:15:00,24.1,27.1,24.8,27.5
17/01/2011,19:30:00,24.1,25.9,25.1,26.4
17/01/2011,19:45:00,24.1,25.4,25.1,26
17/01/2011,20:00:00,17.9,20,19.6,20.3
17/01/2011,20:15:00,16.2,20,15.2,20.8
17/01/2011,20:30:00,17.9,20.2,17.7,21
17/01/2011,20:45:00,18.5,20.6,18.5,21.3
17/01/2011,21:00:00,16,20.6,15.7,21.3
17/01/2011,21:15:00,16.8,20.6,16.8,21.3
17/01/2011,21:30:00,18.1,20.6,18.1,21
17/01/2011,21:45:00,18.6,20.9,18.6,21.2
17/01/2011,22:00:00,16.1,20.9,16,21
17/01/2011,22:15:00,16.9,20.9,16.9,21
17/01/2011,22:30:00,18,20.9,18.1,20.8
17/01/2011,22:45:00,18.4,20.6,18.5,20.8
17/01/2011,23:00:00,17.4,20.6,15.9,20.8
17/01/2011,23:15:00,16.2,20.4,16.1,20.5
17/01/2011,23:30:00,17.3,20.4,17.7,20.5
17/01/2011,23:45:00,17.7,20.4,18.2,20.2
18/01/2011,0:00:00,18.4,20.1,18.5,20.2
18/01/2011,0:15:00,18.5,19.9,18.8,20
18/01/2011,0:30:00,18.7,19.9,17.8,20
18/01/2011,0:45:00,18.5,19.9,15.8,20
18/01/2011,1:00:00,18.5,19.9,17.3,20
18/01/2011,1:15:00,18.7,19.9,18,20.2
18/01/2011,1:30:00,18,19.9,18.5,20.2
18/01/2011,1:45:00,16.1,19.9,18.7,20
18/01/2011,2:00:00,17.2,19.9,18.7,19.7
18/01/2011,2:15:00,17.5,19.6,15.2,19.5
18/01/2011,2:30:00,17.7,19.4,16.7,19.5
18/01/2011,2:45:00,17.7,19.4,17.5,19.3
18/01/2011,3:00:00,18,19.1,17.9,19.3
18/01/2011,3:15:00,18,19.1,17.9,19.3
18/01/2011,3:30:00,18,19.1,17.9,19
18/01/2011,3:45:00,18.2,19.1,18.2,19.2
