Species,Date,Day,Temp,CO2,Potnum,Water,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi,CiCa
E. globulus,2011/01/17,1,Elv,400,1003,Sustained drought,1.969841126,0.020535125,228.1612446,0.543674729,2.582802042,6,0,,33.07227707,31.98010445,32.08076096,399.5649414,396.9463501,21.31043625,21.94750786,41.86022568,43.11162949,500.7999878,2000.331543,0.574791139
E. globulus,2011/01/17,1,Elv,400,1003,Sustained drought,1.834958498,0.020209572,236.2836818,0.535110217,2.582475755,6,0,,33.07271957,31.98114395,32.08123779,399.3572388,396.9043579,21.32652283,21.95355225,41.89087296,43.12252426,500.802002,2000.428101,0.595316421
E. globulus,2011/01/17,1,Elv,400,1003,Sustained drought,1.471350476,0.0202396,265.0236885,0.535714875,2.581532665,6,0,,33.07341766,31.9816227,32.08119965,398.9635315,396.9460449,21.33712578,21.96483231,41.90906906,43.1419754,500.8212891,2000.346436,0.667656705
E. globulus,2011/01/17,1,Elv,400,1003,Sustained drought,1.390456596,0.01969735,268.3740526,0.521512028,2.581277381,6,0,,33.07424164,31.98353767,32.0806694,398.8340149,396.9201965,21.3615799,21.97264481,41.95504379,43.15519714,500.8171997,2000.346802,0.676141086
E. globulus,2011/01/17,1,Elv,400,1003,Sustained drought,1.608046485,0.019382068,248.8286035,0.513197582,2.580861559,6,0,,33.07518005,31.98427963,32.08083344,399.1350708,396.9644165,21.37753487,21.97887611,41.98407745,43.16507339,500.798584,2000.342651,0.626828484
E. globulus,2011/01/17,1,Elv,400,1005,Rewatered  drought,10.09521677,0.267996283,305.7834911,4.3380798,1.843714949,6,0,,32.93122482,31.9780941,32.07221603,400.3050537,386.203125,24.30834961,29.35309029,48.13939285,58.12981796,500.8079529,1999.416138,0.791768557
E. globulus,2011/01/17,1,Elv,400,1005,Rewatered  drought,10.11593939,0.267998449,305.7159185,4.337546563,1.843493549,6,0,,32.93116379,31.97624207,32.07236481,400.4040222,386.2775269,24.30614471,29.35013771,48.13544846,58.1244812,500.8221436,1999.452148,0.79144112
E. globulus,2011/01/17,1,Elv,400,1005,Rewatered  drought,10.11593939,0.267998449,305.7159185,4.337546563,1.843493549,6,0,,32.93116379,31.97624207,32.07236481,400.4040222,386.2775269,24.30614471,29.35013771,48.13544846,58.1244812,500.8221436,1999.452148,0.79144112
E. globulus,2011/01/17,1,Elv,400,1005,Rewatered  drought,10.1721672,0.267624813,305.2555053,4.33462173,1.844415041,6,0,,32.93104172,31.97788429,32.07242203,400.4824524,386.2905884,24.30496597,29.34533119,48.133461,58.11537933,500.8471375,1999.474365,0.790222476
E. globulus,2011/01/17,1,Elv,400,1005,Rewatered  drought,10.16767045,0.267230468,305.2064015,4.329629175,1.844576533,6,0,,32.93120193,31.97790527,32.07246399,400.4846802,386.3005981,24.30929565,29.34381485,48.14152145,58.11175919,500.8519592,1999.496216,0.790074887
E. globulus,2011/01/17,1,Elv,400,1006,Sustained drought,1.937790482,0.020767952,235.1823862,0.508801961,2.394660142,6,0,,32.62508392,31.94321823,32.07004929,401.4913635,398.9266357,23.08018303,23.67531776,46.61024094,47.8121109,500.816925,1999.608765,0.589537938
E. globulus,2011/01/17,1,Elv,400,1006,Sustained drought,1.885499044,0.02046926,237.1810648,0.50160324,2.394759364,6,0,,32.62302399,31.9395504,32.07408524,401.5068665,399.0079651,23.07764435,23.66441536,46.61054993,47.79566956,500.7743225,1999.612183,0.594426893
E. globulus,2011/01/17,1,Elv,400,1006,Sustained drought,2.191658174,0.019135657,201.7988468,0.469482118,2.395413167,6,0,,32.62024307,31.93850136,32.07837296,401.9461365,399.0957947,23.10582352,23.65501022,46.67483902,47.78422165,500.7876282,1999.603149,0.505640123
E. globulus,2011/01/17,1,Elv,400,1006,Sustained drought,2.101226135,0.019573077,213.1840494,0.479900192,2.394601543,6,0,,32.61811829,31.9330349,32.08188248,401.8749695,399.1279602,23.08701706,23.64839745,46.64242554,47.77657318,500.7848511,1999.576416,0.534124568
E. globulus,2011/01/17,1,Elv,400,1006,Sustained drought,2.10865077,0.020730094,222.0625053,0.508442432,2.397304554,6,0,,32.61512756,31.93861771,32.08441925,401.9595642,399.190033,23.04199982,23.63676262,46.55859756,47.76037216,500.7957764,1999.413086,0.55628269
