Species,Date,Day,Temp,CO2,Potnum,Water,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
E. globulus,17/01/2011,1,Amb,640,1013,Rewatered drought,-0.661399999,0.056763493,654.2773554,0.32644111,0.5880862,6,0,1.420000017,16.98275948,18.11036682,16.02987862,640.255127,641.1602173,14.31427479,14.95802593,73.78143311,77.09957886,299.7041931,0.039951697
E. globulus,17/01/2011,1,Amb,640,1013,Rewatered drought,-0.649692404,0.05647984,654.0310207,0.324898887,0.588135104,6,0,1.420000017,16.98247528,18.1092701,16.03017426,640.2791138,641.1627197,14.31541634,14.95611,73.78860474,77.09104919,299.7123413,0.041199956
E. globulus,17/01/2011,1,Amb,640,1013,Rewatered drought,-0.693653177,0.056242108,655.4547953,0.323470387,0.587926926,6,0,1.420000017,16.98213196,18.10645103,16.03005409,640.2473145,641.2207031,14.31674194,14.95460701,73.79651642,77.08442688,299.7182617,0.023721011
E. globulus,17/01/2011,1,Amb,640,1013,Rewatered drought,-0.722864617,0.056233891,656.349984,0.323367228,0.587828665,6,0,1.420000017,16.98214149,18.10611534,16.03000832,640.2250366,641.257019,14.31731701,14.95498276,73.80025482,77.08717346,299.716217,0.026217781
E. globulus,17/01/2011,1,Amb,640,1013,Rewatered drought,-0.757507627,0.056253532,657.4042252,0.323540646,0.587949968,6,0,1.420000017,16.98233032,18.10747719,16.03023148,640.2050781,641.3061523,14.31744194,14.95544624,73.80053711,77.08918762,299.7176819,0.040574983
E. globulus,17/01/2011,1,Amb,640,1014,Rewatered drought,-0.911811333,0.486008674,639.0228529,1.994494495,0.542341416,6,0,1.420000017,16.61215782,16.8489933,16.03504944,641.3057251,640.5734863,9.884200096,13.82139397,52.15512466,72.93018341,299.745636,0.013109099
E. globulus,17/01/2011,1,Amb,640,1014,Rewatered drought,-0.944068774,0.48605201,639.2102207,1.994851265,0.542398584,6,0,1.420000017,16.61230087,16.84945869,16.03497887,641.2937622,640.6254272,9.883579254,13.82148266,52.15102768,72.92950439,299.7452087,0.026842352
E. globulus,17/01/2011,1,Amb,640,1014,Rewatered drought,-0.944068774,0.48605201,639.2102207,1.994851265,0.542398584,6,0,1.420000017,16.61230087,16.84945869,16.03497887,641.2937622,640.6254272,9.883579254,13.82148266,52.15102768,72.92950439,299.7452087,0.026842352
E. globulus,17/01/2011,1,Amb,640,1014,Rewatered drought,-0.960787569,0.486313547,639.2900255,1.995553774,0.542377114,6,0,1.420000017,16.61276436,16.8493824,16.03507233,641.2716064,640.6358032,9.882240295,13.82148075,52.14289856,72.9280014,299.7489929,0.020599924
E. globulus,17/01/2011,1,Amb,640,1014,Rewatered drought,-0.951334833,0.485986766,639.2397426,1.994911971,0.542475291,6,0,1.420000017,16.61280441,16.84911346,16.03495979,641.2783203,640.6244507,9.882097244,13.82015705,52.14206314,72.92090607,299.7428284,0.025593814
