Date,Time,Temp,CO2,Water,SensorRep,VWC,SWCcalibrated,SWP
20/01/2011,13:00:00,Amb,400,Rewatered Drought,1,0.068,8.972,0.201
20/01/2011,14:00:00,Amb,400,Rewatered Drought,1,0.066,8.797,0.213
20/01/2011,15:00:00,Amb,400,Rewatered Drought,1,0.064,8.623,0.227
20/01/2011,16:00:00,Amb,400,Rewatered Drought,1,0.063,8.535,0.234
20/01/2011,17:00:00,Amb,400,Rewatered Drought,1,0.061,8.36,0.249
20/01/2011,18:00:00,Amb,400,Rewatered Drought,1,0.06,8.273,0.257
20/01/2011,19:00:00,Amb,400,Rewatered Drought,1,0.059,8.185,0.265
20/01/2011,20:00:00,Amb,400,Rewatered Drought,1,0.058,8.098,0.274
20/01/2011,21:00:00,Amb,400,Rewatered Drought,1,0.058,8.098,0.274
20/01/2011,22:00:00,Amb,400,Rewatered Drought,1,0.058,8.098,0.274
20/01/2011,23:00:00,Amb,400,Rewatered Drought,1,0.057,8.011,0.283
21/01/2011,0:00:00,Amb,400,Rewatered Drought,1,0.057,8.011,0.283
21/01/2011,1:00:00,Amb,400,Rewatered Drought,1,0.057,8.011,0.283
21/01/2011,2:00:00,Amb,400,Rewatered Drought,1,0.057,8.011,0.283
21/01/2011,3:00:00,Amb,400,Rewatered Drought,1,0.056,7.923,0.293
21/01/2011,4:00:00,Amb,400,Rewatered Drought,1,0.056,7.923,0.293
21/01/2011,5:00:00,Amb,400,Rewatered Drought,1,0.056,7.923,0.293
21/01/2011,6:00:00,Amb,400,Rewatered Drought,1,0.056,7.923,0.293
21/01/2011,7:00:00,Amb,400,Rewatered Drought,1,0.056,7.923,0.293
21/01/2011,8:00:00,Amb,400,Rewatered Drought,1,0.056,7.923,0.293
21/01/2011,9:00:00,Amb,400,Rewatered Drought,1,0.055,7.836,0.303
21/01/2011,10:00:00,Amb,400,Rewatered Drought,1,0.053,7.661,0.324
21/01/2011,11:00:00,Amb,400,Rewatered Drought,1,0.069,9.06,0.195
21/01/2011,12:00:00,Amb,400,Rewatered Drought,1,0.066,8.797,0.213
21/01/2011,13:00:00,Amb,400,Rewatered Drought,1,0.063,8.535,0.234
21/01/2011,14:00:00,Amb,400,Rewatered Drought,1,0.061,8.36,0.249
21/01/2011,15:00:00,Amb,400,Rewatered Drought,1,0.059,8.185,0.265
21/01/2011,16:00:00,Amb,400,Rewatered Drought,1,0.058,8.098,0.274
21/01/2011,17:00:00,Amb,400,Rewatered Drought,1,0.056,7.923,0.293
21/01/2011,18:00:00,Amb,400,Rewatered Drought,1,0.054,7.748,0.313
21/01/2011,19:00:00,Amb,400,Rewatered Drought,1,0.054,7.748,0.313
21/01/2011,20:00:00,Amb,400,Rewatered Drought,1,0.053,7.661,0.324
21/01/2011,21:00:00,Amb,400,Rewatered Drought,1,0.052,7.574,0.335
21/01/2011,22:00:00,Amb,400,Rewatered Drought,1,0.052,7.574,0.335
