Species,Date,Day,Temp,CO2,Water,Organ,StarchW,SolSugW
E. globulus,17/01/11,1,Amb,640,Rewatered  drought,Leaf,46.832579,96.708643
E. globulus,17/01/11,1,Amb,400,Rewatered  drought,Leaf,38.146667,92.808588
E. globulus,17/01/11,1,Amb,640,Rewatered  drought,Root,6.076271,24.818389
E. globulus,17/01/11,1,Amb,400,Rewatered  drought,Root,6.857143,32.595506
E. globulus,17/01/11,1,Amb,640,Rewatered  drought,Stem,7.71831,25.651215
E. globulus,17/01/11,1,Amb,400,Rewatered  drought,Stem,8.378571,42.464943
E. globulus,17/01/11,1,Elv,640,Rewatered  drought,Leaf,13.321101,124.747951
E. globulus,17/01/11,1,Elv,400,Rewatered  drought,Leaf,15.913636,66.867596
E. globulus,17/01/11,1,Elv,640,Rewatered  drought,Root,6.635135,26.757854
E. globulus,17/01/11,1,Elv,400,Rewatered  drought,Root,8.265823,12.448664
E. globulus,17/01/11,1,Elv,640,Rewatered  drought,Stem,9.25,28.552373
E. globulus,17/01/11,1,Elv,400,Rewatered  drought,Stem,8.208955,53.56894
E. globulus,17/01/11,1,Amb,640,Sustained drought,Leaf,11.536232,93.640871
E. globulus,17/01/11,1,Amb,400,Sustained drought,Leaf,4.710407,71.936398
E. globulus,17/01/11,1,Amb,640,Sustained drought,Root,8.958904,24.871658
E. globulus,17/01/11,1,Amb,400,Sustained drought,Root,7.263889,18.087833
E. globulus,17/01/11,1,Amb,640,Sustained drought,Stem,7.972222,36.505365
E. globulus,17/01/11,1,Amb,400,Sustained drought,Stem,8.941748,24.008677
E. globulus,17/01/11,1,Elv,640,Sustained drought,Leaf,5.959091,85.151259
E. globulus,17/01/11,1,Elv,400,Sustained drought,Leaf,4.5,100.920433
E. globulus,17/01/11,1,Elv,640,Sustained drought,Root,7.587444,14.203357
E. globulus,17/01/11,1,Elv,400,Sustained drought,Root,7.466667,46.850761
E. globulus,17/01/11,1,Elv,640,Sustained drought,Stem,2.71179,31.760131
E. globulus,17/01/11,1,Elv,400,Sustained drought,Stem,8.155462,53.733592
