Species,Date,Day,Temp,CO2,Potnum,Water,Height,Basaldia1,Basaldia2,Leafnum,Branchnum,Comments
E. globulus,7/01/2011,Pre Treatment,Elv,640,1041,Rewatered drought,48.1,8.39,9.38,70,4,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1048,Rewatered drought,47.3,7.07,7.16,160,18,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1063,Rewatered drought,43.2,6.68,7.25,83,8,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1062,Rewatered drought,48,7.57,5.97,110,11,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1086,Rewatered drought,50,7.3,7.82,90,10,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1094,Rewatered drought,47,7.44,8.51,78,7,
E. globulus,7/01/2011,Pre Treatment,Elv,400,1005,Rewatered drought,52.6,6.86,7,137,13,
E. globulus,7/01/2011,Pre Treatment,Elv,400,1007,Rewatered drought,44.2,5.66,6.09,120,16,
E. globulus,7/01/2011,Pre Treatment,Elv,400,1032,Rewatered drought,54.5,6.88,8.19,95,12,
E. globulus,7/01/2011,Pre Treatment,Elv,400,1025,Rewatered drought,48.3,5.8,6.32,101,8,
E. globulus,7/01/2011,Pre Treatment,Elv,400,1131,Rewatered drought,49,6.79,7.28,121,11,
E. globulus,7/01/2011,Pre Treatment,Elv,400,1123,Rewatered drought,48.4,5.94,6.01,83,10,
E. globulus,7/01/2011,Pre Treatment,Amb,400,1052,Rewatered drought,42.9,5.88,6.03,88,11,
E. globulus,7/01/2011,Pre Treatment,Amb,400,1051,Rewatered drought,37.3,5.23,5.41,68,7,
E. globulus,7/01/2011,Pre Treatment,Amb,400,1077,Rewatered drought,45.5,6.6,6.75,81,6,
E. globulus,7/01/2011,Pre Treatment,Amb,400,1084,Rewatered drought,39.2,7.83,7.84,95,12,
E. globulus,7/01/2011,Pre Treatment,Amb,400,1097,Rewatered drought,38.8,6.82,6.44,93,11,
E. globulus,7/01/2011,Pre Treatment,Amb,400,1104,Rewatered drought,43.8,5.91,6.63,89,11,
E. globulus,7/01/2011,Pre Treatment,Amb,640,1014,Rewatered drought,41,7.19,6.96,92,13,
E. globulus,7/01/2011,Pre Treatment,Amb,640,1013,Rewatered drought,45.9,5.58,5.8,95,10,
E. globulus,7/01/2011,Pre Treatment,Amb,640,1112,Rewatered drought,48.2,7.39,6.9,80,13,
E. globulus,7/01/2011,Pre Treatment,Amb,640,1116,Rewatered drought,44.5,6.96,7.66,76,9,
E. globulus,7/01/2011,Pre Treatment,Amb,640,1136,Rewatered drought,39,7.39,7.09,69,6,
E. globulus,7/01/2011,Pre Treatment,Amb,640,1135,Rewatered drought,49.5,6.72,6.55,76,6,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1046,Sustained drought,44.3,5.92,6.75,102,11,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1047,Sustained drought,41.8,7.24,7.43,95,12,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1071,Sustained drought,42.8,6.51,6.11,81,11,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1064,Sustained drought,42.1,6.77,6.89,101,14,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1093,Sustained drought,42.5,6.56,6.69,74,8,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1085,Sustained drought,49.8,9.35,7.7,80,7,
E. globulus,7/01/2011,Pre Treatment,Elv,400,1006,Sustained drought,45.3,6.57,6.81,72,9,
E. globulus,7/01/2011,Pre Treatment,Elv,400,1003,Sustained drought,49,5.69,6.57,72,8,
E. globulus,7/01/2011,Pre Treatment,Elv,400,1035,Sustained drought,48.5,5.4,5.45,95,11,
E. globulus,7/01/2011,Pre Treatment,Elv,400,1030,Sustained drought,45.5,5.18,5.33,131,16,
E. globulus,7/01/2011,Pre Treatment,Elv,400,1130,Sustained drought,38.5,5.59,5.9,91,15,
E. globulus,7/01/2011,Pre Treatment,Elv,400,1132,Sustained drought,43,5.55,5.65,122,15,
E. globulus,7/01/2011,Pre Treatment,Amb,400,1058,Sustained drought,38.9,5.14,5.42,65,7,
E. globulus,7/01/2011,Pre Treatment,Amb,400,1059,Sustained drought,37.8,4.83,5.04,65,7,
E. globulus,7/01/2011,Pre Treatment,Amb,400,1082,Sustained drought,41.5,5.89,7.19,88,12,
E. globulus,7/01/2011,Pre Treatment,Amb,400,1083,Sustained drought,35.5,5.8,6.2,78,13,
E. globulus,7/01/2011,Pre Treatment,Amb,400,1107,Sustained drought,41.8,5.58,5.66,64,7,
E. globulus,7/01/2011,Pre Treatment,Amb,400,1098,Sustained drought,35,5.74,5.69,64,8,
E. globulus,7/01/2011,Pre Treatment,Amb,640,1024,Sustained drought,40,5.01,5.17,54,7,
E. globulus,7/01/2011,Pre Treatment,Amb,640,1016,Sustained drought,41.5,6.45,6.37,71,12,
E. globulus,7/01/2011,Pre Treatment,Amb,640,1109,Sustained drought,42.5,5.46,5.96,69,8,
E. globulus,7/01/2011,Pre Treatment,Amb,640,1111,Sustained drought,35.6,5.97,5.95,68,4,
E. globulus,7/01/2011,Pre Treatment,Amb,640,1143,Sustained drought,42.1,5.64,5.83,54,6,
E. globulus,7/01/2011,Pre Treatment,Amb,640,1144,Sustained drought,45.2,6.27,6.45,78,9,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1042,Well watered,53,8.81,8.56,113,11,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1044,Well watered,55,8.21,9.19,125,8,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1069,Well watered,48.1,7.02,7.39,132,13,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1070,Well watered,48.3,8.51,8.7,178,16,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1090,Well watered,47.9,9.53,8.37,39,3,
E. globulus,7/01/2011,Pre Treatment,Elv,640,1091,Well watered,49.1,9.59,9.62,144,12,
E. globulus,7/01/2011,Pre Treatment,Elv,400,1008,Well watered,48.5,7.49,8.31,141,18,
E. globulus,7/01/2011,Pre Treatment,Elv,400,1019,Well watered,61.8,7.99,8.17,137,14,
