Species,Date,Day,Temp,CO2,Water,Potnum,Photo,Cond,Ci,Trmmol,VpdL,Rdark
E. radiata,2012/03/26,1,Amb,400,Dry,510,28,0.419660173,278.9398345,7.003874447,1.800376776,1.482564663
E. radiata,2012/03/26,1,Amb,400,Dry,502,,,281.7601797,11.49200188,1.690303437,1.508839846
E. radiata,2012/03/26,1,Amb,400,Dry,509,21.68138513,0.282813694,251.2043455,4.929154629,1.8292806,
E. radiata,2012/03/26,1,Amb,400,Dry,513,26.67525594,0.319728462,237.2973983,6.167580762,2.037392236,0.984688473
E. radiata,2012/03/26,1,Amb,400,Wet,515,29.40526061,0.550099555,282.983109,9.113098328,1.835416913,1.503016828
E. radiata,2012/03/26,1,Amb,400,Wet,503,23.52403601,0.252948507,225.6384314,4.068205868,1.678853166,0.975908196
E. radiata,2012/03/26,1,Amb,400,Wet,512,27.25152154,0.33940122,241.7497123,5.933484386,1.855623566,
E. radiata,2012/03/26,1,Amb,400,Wet,516,26.44123249,0.403848217,266.044516,7.310640563,1.945723334,1.528352877
E. radiata,2012/03/26,1,Amb,640,Dry,611,31.1066601,0.268478213,401.9799809,4.262195807,1.677091054,
E. radiata,2012/03/26,1,Amb,640,Dry,604,35.41132461,0.360934421,442.4663433,5.753665811,1.695166809,
E. radiata,2012/03/26,1,Amb,640,Dry,608,40.97249225,0.665425257,489.1117336,10.59666805,1.813338945,1.69252554
E. radiata,2012/03/26,1,Amb,640,Dry,620,35.62374786,0.473438207,474.6791023,7.230757159,1.659468539,1.000917269
E. radiata,2012/03/26,1,Amb,640,Wet,605,,,526.5617871,9.679113658,1.479750008,1.842912341
E. radiata,2012/03/26,1,Amb,640,Wet,616,,,470.7441081,9.283113156,1.479230195,1.968136531
E. radiata,2012/03/26,1,Amb,640,Wet,609,37.8715172,0.660969278,507.2042201,8.053720112,1.375010769,
E. radiata,2012/03/26,1,Amb,640,Wet,619,35.37076117,0.306593533,413.9717752,5.182518811,1.777742039,0.857367611
E. radiata,2012/03/26,1,Elv,400,Dry,404,22.06375003,0.347406913,266.4617187,7.952761137,2.421898698,1.500739566
E. radiata,2012/03/26,1,Elv,400,Dry,407,27.74276588,0.57761616,293.6630805,8.062455256,1.53540191,
E. radiata,2012/03/26,1,Elv,400,Dry,417,23.07328669,0.642555023,312.3673906,9.262465345,1.622855697,
E. radiata,2012/03/26,1,Elv,400,Dry,419,17.43438409,0.203654774,234.9477406,5.145207143,2.586850147,1.956868938
E. radiata,2012/03/26,1,Elv,400,Wet,415,28.64450625,0.576632076,287.6734735,10.85205453,2.079037881,2.052844821
E. radiata,2012/03/26,1,Elv,400,Wet,403,19.69457037,0.27725252,259.1487595,6.582027599,2.462942713,1.861258606
E. radiata,2012/03/26,1,Elv,400,Wet,401,23.15294855,0.426331918,280.1944113,7.021425629,1.782451126,1.076602875
E. radiata,2012/03/26,1,Elv,400,Wet,408,18.92762044,0.214490399,233.7860599,4.961194768,2.367427112,
E. radiata,2012/03/26,1,Elv,640,Dry,306,33.68058888,0.425322582,470.6048992,7.72638475,1.950104413,1.681282767
E. radiata,2012/03/26,1,Elv,640,Dry,303,36.46980256,0.351736901,428.5316792,7.45581318,2.237902674,1.413245241
E. radiata,2012/03/26,1,Elv,640,Dry,319,28.37737947,0.164352748,325.7768765,4.296080458,2.647883447,
E. radiata,2012/03/26,1,Elv,640,Wet,311,35.33083218,0.457715637,471.8672497,8.660538447,2.043463677,1.414491452
E. radiata,2012/03/26,1,Elv,640,Wet,308,33.43681375,0.30914044,422.1323893,6.936021071,2.344110345,1.549574657
E. radiata,2012/03/26,1,Elv,640,Wet,310,31.49932968,0.369570861,457.6083294,7.706115387,2.215926415,
E. radiata,2012/03/26,1,Elv,640,Wet,307,33.0764439,0.234132218,370.4969166,4.721450245,2.080489071,
E. radiata,2012/04/03,9,Amb,400,Dry,510,32.02899491,0.496753334,265.3630384,6.813752234,1.496242671,0.853956279
E. radiata,2012/04/03,9,Amb,400,Dry,502,,,281.6838404,11.66080339,1.685731472,1.047516306
E. radiata,2012/04/03,9,Amb,400,Dry,549,18.18899689,0.23368825,248.6757958,4.078057181,1.811328251,
E. radiata,2012/04/03,9,Amb,400,Dry,509,30.84649006,0.425895843,250.7993214,7.544124058,1.89965586,1.166191689
E. radiata,2012/04/03,9,Amb,400,Dry,513,27.12737375,0.321301594,236.1065442,5.688180481,1.860792742,0.821531044
E. radiata,2012/04/03,9,Amb,400,Wet,515,34.7439079,0.595479487,272.4394596,9.383837073,1.747056145,0.733689592
E. radiata,2012/04/03,9,Amb,400,Wet,501,16.59269972,0.274896366,280.6402441,4.463622764,1.693213543,1.400603608
E. radiata,2012/04/03,9,Amb,400,Wet,512,24.54532592,0.272538207,227.9601604,5.104744643,1.950593961,1.893300222
E. radiata,2012/04/03,9,Amb,400,Wet,516,28.43751227,0.350946135,239.9956005,5.781247987,1.743909351,
