Species,Date,Day,Temp,CO2,Water,LA,LeafDW,StemDW,RootDW,PlantDW
E. radiata,2012/03/26,1,Amb,400,Dry,364.98,2.3815,1.202234848,1.1555,4.739234848
E. radiata,2012/03/26,1,Amb,400,Dry,429.75,3.5988,1.832120301,1.1808,6.611720301
E. radiata,2012/03/26,1,Amb,640,Dry,567.92,4.0893,2.198084404,1.6504,7.937784404
E. radiata,2012/03/26,1,Amb,640,Dry,542.11,4.262,2.261994398,1.3024,7.826394398
E. radiata,2012/03/26,1,Amb,640,Dry,553.91,3.2536,1.695652128,1.8431,6.792352128
E. radiata,2012/03/26,1,Amb,400,Wet,364.98,2.3815,1.202234848,1.1555,4.739234848
E. radiata,2012/03/26,1,Amb,400,Wet,429.75,3.5988,1.832120301,1.1808,6.611720301
E. radiata,2012/03/26,1,Amb,640,Wet,567.92,4.0893,2.198084404,1.6504,7.937784404
E. radiata,2012/03/26,1,Amb,640,Wet,542.11,4.262,2.261994398,1.3024,7.826394398
E. radiata,2012/03/26,1,Amb,640,Wet,553.91,3.2536,1.695652128,1.8431,6.792352128
E. radiata,2012/03/26,1,Elv,640,Dry,609.99,3.5661,1.799585526,1.278,6.643685526
E. radiata,2012/03/26,1,Elv,640,Dry,659.93,5.2044,3.602848889,1.8329,10.64014889
E. radiata,2012/03/26,1,Elv,640,Dry,697.64,4.6261,3.141070912,1.4459,9.213070912
E. radiata,2012/03/26,1,Elv,400,Dry,412.95,3.2234,2.671483146,1.2966,7.191483146
E. radiata,2012/03/26,1,Elv,400,Dry,399.68,3.3349,2.326424242,0.8106,6.471924242
E. radiata,2012/03/26,1,Elv,400,Dry,558.9,3.4536,1.604977904,1.0881,6.146677904
E. radiata,2012/03/26,1,Elv,640,Wet,609.99,3.5661,1.799585526,1.278,6.643685526
E. radiata,2012/03/26,1,Elv,640,Wet,659.93,5.2044,3.602848889,1.8329,10.64014889
E. radiata,2012/03/26,1,Elv,640,Wet,697.64,4.6261,3.141070912,1.4459,9.213070912
E. radiata,2012/03/26,1,Elv,400,Wet,412.95,3.2234,2.671483146,1.2966,7.191483146
E. radiata,2012/03/26,1,Elv,400,Wet,399.68,3.3349,2.326424242,0.8106,6.471924242
E. radiata,2012/03/26,1,Elv,400,Wet,558.9,3.4536,1.604977904,1.0881,6.146677904
E. radiata,2012/06/06,73,Amb,400,Dry,1187.81,10.02,8.333970827,4.14,22.49397083
E. radiata,2012/06/06,73,Amb,400,Dry,1152.05,10.04,8.910820513,5.72,24.67082051
E. radiata,2012/06/06,73,Amb,640,Dry,1187.497,11.43,8.985636115,5.58,25.99563611
E. radiata,2012/06/06,73,Amb,640,Dry,1447.77,13.71,9.687521438,7.31,30.70752144
E. radiata,2012/06/06,73,Amb,400,Wet,1798.803,16.06,12.90421053,7.35,36.31421053
