Species,Date,Day,Temp,CO2,Water,Potnum,pdLWP,mdLWP,Kp
E. radiata,4/05/2012,40,Elv,640,Dry,303,0.05,0.505,4.583138609
E. radiata,4/05/2012,40,Elv,640,Dry,306,0.135,0.936,3.162540781
E. radiata,4/05/2012,40,Elv,640,Wet,308,0.125,0.643,4.340744435
E. radiata,4/05/2012,40,Elv,640,Wet,310,0.13,0.96,3.487864037
E. radiata,4/05/2012,40,Elv,640,Wet,311,0.078,1.027,2.237074279
E. radiata,4/05/2012,40,Elv,640,Dry,313,0.25,1.19,3.713032586
E. radiata,4/05/2012,40,Elv,400,Wet,401,0.108,1.11,5.606757229
E. radiata,4/05/2012,40,Elv,400,Wet,403,0.26,1.36,3.111722315
E. radiata,4/05/2012,40,Elv,400,Dry,404,0.082,0.96,5.998726945
E. radiata,4/05/2012,40,Elv,400,Wet,415,0.058,1.36,3.823248061
E. radiata,4/05/2012,40,Elv,400,Dry,417,0.22,1.24,3.661029479
E. radiata,4/05/2012,40,Elv,400,Dry,419,0.32,0.95,5.373654235
E. radiata,4/05/2012,40,Amb,400,Wet,501,0.108,0.26,
E. radiata,4/05/2012,40,Amb,400,Dry,502,0.21,0.54,8.501196146
E. radiata,4/05/2012,40,Amb,400,Dry,510,0.104,0.46,6.819540792
E. radiata,4/05/2012,40,Amb,400,Dry,513,0.158,0.49,6.249400184
E. radiata,4/05/2012,40,Amb,400,Wet,515,0.14,0.58,6.530723342
E. radiata,4/05/2012,40,Amb,400,Wet,516,0.21,0.45,11.39559945
E. radiata,4/05/2012,40,Amb,640,Dry,604,0.08,0.57,5.995615463
E. radiata,4/05/2012,40,Amb,640,Wet,605,0.12,0.81,3.735273965
E. radiata,4/05/2012,40,Amb,640,Dry,608,0.132,0.7,4.38370619
E. radiata,4/05/2012,40,Amb,640,Wet,616,0.145,0.34,9.587531832
E. radiata,4/05/2012,40,Amb,640,Wet,619,0.109,0.49,6.422121891
E. radiata,4/05/2012,40,Amb,640,Dry,620,0.157,0.5,5.77554129
E. radiata,17/05/2012,53,Elv,640,Dry,303,0.35,0.539,10.70027736
E. radiata,17/05/2012,53,Elv,640,Dry,306,0.055,0.296,
E. radiata,17/05/2012,53,Elv,640,Wet,308,0.035,0.335,7.228922906
E. radiata,17/05/2012,53,Elv,640,Wet,310,0.3,1.078,2.945715979
E. radiata,17/05/2012,53,Elv,640,Wet,311,0.12,0.378,6.719888548
E. radiata,17/05/2012,53,Elv,640,Dry,313,0.13,0.625,4.458229267
E. radiata,17/05/2012,53,Elv,400,Wet,401,0.076,0.94,4.05035925
E. radiata,17/05/2012,53,Elv,400,Wet,403,0.055,0.986,2.736097156
E. radiata,17/05/2012,53,Elv,400,Dry,404,0.22,0.96,5.935366811
E. radiata,17/05/2012,53,Elv,400,Wet,415,0.27,1.05,6.074657396
E. radiata,17/05/2012,53,Elv,400,Dry,417,0.288,1.453,2.882487537
