Species,Date,Day,Temp,CO2,Potnum,percentBrown
E. radiata,15/06/2012,82,Elv,640,303,0
E. radiata,15/06/2012,82,Elv,640,309,80
E. radiata,15/06/2012,82,Elv,640,312,0
E. radiata,15/06/2012,82,Elv,640,314,0
E. radiata,15/06/2012,82,Elv,640,317,0
E. radiata,15/06/2012,82,Elv,640,318,40
E. radiata,15/06/2012,82,Elv,640,319,70
E. radiata,15/06/2012,82,Elv,400,404,50
E. radiata,15/06/2012,82,Elv,400,406,0
E. radiata,15/06/2012,82,Elv,400,409,0
E. radiata,15/06/2012,82,Elv,400,411,0
E. radiata,15/06/2012,82,Elv,400,412,0
E. radiata,15/06/2012,82,Elv,400,414,0
E. radiata,15/06/2012,82,Elv,400,420,0
E. radiata,15/06/2012,82,Amb,400,502,0
E. radiata,15/06/2012,82,Amb,400,504,0
E. radiata,15/06/2012,82,Amb,400,506,0
E. radiata,15/06/2012,82,Amb,400,508,0
E. radiata,15/06/2012,82,Amb,400,517,0
E. radiata,15/06/2012,82,Amb,400,518,0
E. radiata,15/06/2012,82,Amb,400,519,0
E. radiata,15/06/2012,82,Amb,640,601,0
E. radiata,15/06/2012,82,Amb,640,607,0
E. radiata,15/06/2012,82,Amb,640,610,0
E. radiata,15/06/2012,82,Amb,640,611,0
E. radiata,15/06/2012,82,Amb,640,614,0
E. radiata,15/06/2012,82,Amb,640,618,0
E. radiata,15/06/2012,82,Amb,640,620,20
E. radiata,18/06/2012,85,Elv,640,303,1
E. radiata,18/06/2012,85,Elv,640,309,85
E. radiata,18/06/2012,85,Elv,640,312,1
E. radiata,18/06/2012,85,Elv,640,314,0
E. radiata,18/06/2012,85,Elv,640,317,1
E. radiata,18/06/2012,85,Elv,640,318,40
E. radiata,18/06/2012,85,Elv,640,319,80
E. radiata,18/06/2012,85,Elv,400,404,50
E. radiata,18/06/2012,85,Elv,400,406,0
E. radiata,18/06/2012,85,Elv,400,409,1
E. radiata,18/06/2012,85,Elv,400,411,1
E. radiata,18/06/2012,85,Elv,400,412,0
E. radiata,18/06/2012,85,Elv,400,414,0
E. radiata,18/06/2012,85,Elv,400,420,0
E. radiata,18/06/2012,85,Amb,400,502,0
E. radiata,18/06/2012,85,Amb,400,504,0
E. radiata,18/06/2012,85,Amb,400,506,2
E. radiata,18/06/2012,85,Amb,400,508,0
E. radiata,18/06/2012,85,Amb,400,517,0
E. radiata,18/06/2012,85,Amb,400,518,0
E. radiata,18/06/2012,85,Amb,400,519,0
E. radiata,18/06/2012,85,Amb,640,601,0
E. radiata,18/06/2012,85,Amb,640,607,0
E. radiata,18/06/2012,85,Amb,640,610,1
E. radiata,18/06/2012,85,Amb,640,611,0
E. radiata,18/06/2012,85,Amb,640,614,0
E. radiata,18/06/2012,85,Amb,640,618,0
E. radiata,18/06/2012,85,Amb,640,620,20
E. radiata,21/06/2012,88,Elv,640,303,1
E. radiata,21/06/2012,88,Elv,640,309,88
E. radiata,21/06/2012,88,Elv,640,312,1
E. radiata,21/06/2012,88,Elv,640,314,0
E. radiata,21/06/2012,88,Elv,640,317,1
E. radiata,21/06/2012,88,Elv,640,318,60
E. radiata,21/06/2012,88,Elv,640,319,85
E. radiata,21/06/2012,88,Elv,400,404,50
E. radiata,21/06/2012,88,Elv,400,406,1
E. radiata,21/06/2012,88,Elv,400,409,5
E. radiata,21/06/2012,88,Elv,400,411,5
E. radiata,21/06/2012,88,Elv,400,412,0
E. radiata,21/06/2012,88,Elv,400,414,0
E. radiata,21/06/2012,88,Elv,400,420,0
E. radiata,21/06/2012,88,Amb,400,502,0
E. radiata,21/06/2012,88,Amb,400,504,0
E. radiata,21/06/2012,88,Amb,400,506,2
E. radiata,21/06/2012,88,Amb,400,508,0
E. radiata,21/06/2012,88,Amb,400,517,0
E. radiata,21/06/2012,88,Amb,400,518,0
E. radiata,21/06/2012,88,Amb,400,519,0
E. radiata,21/06/2012,88,Amb,640,601,0
E. radiata,21/06/2012,88,Amb,640,607,0
E. radiata,21/06/2012,88,Amb,640,610,1
E. radiata,21/06/2012,88,Amb,640,611,0
E. radiata,21/06/2012,88,Amb,640,614,0
E. radiata,21/06/2012,88,Amb,640,618,0
