Species,Date,Temp,CO2,Water,PotNum,Organ,StarchW,SolSugW
E. radiata,26/03/2012,Elv,640,Wet,304,leaf,7.34,52.74
E. radiata,26/03/2012,Elv,640,Wet,304,stem,6.29,31.32
E. radiata,26/03/2012,Elv,640,Wet,304,root,7.19,18.76
E. radiata,26/03/2012,Elv,640,Wet,315,leaf,6.84,39.10
E. radiata,26/03/2012,Elv,640,Wet,315,stem,7.10,30.05
E. radiata,26/03/2012,Elv,640,Wet,315,root,5.38,29.54
E. radiata,26/03/2012,Elv,640,Wet,316,leaf,7.84,33.49
E. radiata,26/03/2012,Elv,640,Wet,316,stem,5.46,20.35
E. radiata,26/03/2012,Elv,640,Wet,316,root,4.81,22.55
E. radiata,26/03/2012,Elv,400,Wet,402,leaf,7.00,53.24
E. radiata,26/03/2012,Elv,400,Wet,402,stem,5.74,17.95
E. radiata,26/03/2012,Elv,400,Wet,402,root,4.64,25.07
E. radiata,26/03/2012,Elv,400,Wet,413,leaf,4.69,57.64
E. radiata,26/03/2012,Elv,400,Wet,413,stem,4.66,26.69
E. radiata,26/03/2012,Elv,400,Wet,413,root,4.82,10.70
E. radiata,26/03/2012,Elv,400,Wet,418,leaf,6.62,41.36
E. radiata,26/03/2012,Elv,400,Wet,418,stem,3.26,16.52
E. radiata,26/03/2012,Elv,400,Wet,418,root,5.91,13.80
E. radiata,26/03/2012,Amb,400,Wet,503,leaf,5.24,34.31
E. radiata,26/03/2012,Amb,400,Wet,503,stem,6.76,38.32
E. radiata,26/03/2012,Amb,400,Wet,503,root,6.57,14.14
E. radiata,26/03/2012,Amb,400,Wet,505,leaf,7.93,55.89
E. radiata,26/03/2012,Amb,400,Wet,505,stem,5.96,16.23
E. radiata,26/03/2012,Amb,400,Wet,505,root,6.09,17.56
E. radiata,26/03/2012,Amb,400,Wet,514,leaf,6.18,48.89
E. radiata,26/03/2012,Amb,400,Wet,514,stem,5.60,17.28
E. radiata,26/03/2012,Amb,400,Wet,514,root,5.09,29.42
E. radiata,26/03/2012,Amb,640,Wet,612,leaf,9.26,57.49
E. radiata,26/03/2012,Amb,640,Wet,612,stem,6.62,15.94
E. radiata,26/03/2012,Amb,640,Wet,612,root,5.58,17.32
E. radiata,26/03/2012,Amb,640,Wet,613,leaf,7.77,47.22
E. radiata,26/03/2012,Amb,640,Wet,613,stem,7.26,17.50
E. radiata,26/03/2012,Amb,640,Wet,613,root,7.55,13.56
E. radiata,26/03/2012,Amb,640,Wet,617,leaf,10.74,48.19
E. radiata,26/03/2012,Amb,640,Wet,617,stem,6.50,12.18
E. radiata,26/03/2012,Amb,640,Wet,617,root,5.32,14.47
E. radiata,9/10/2012,Elv,640,Wet,301,leaf,55.79,70.02
E. radiata,9/10/2012,Elv,640,Wet,301,stem,16.81,24.49
E. radiata,9/10/2012,Elv,640,Wet,301,root,8.70,11.35
E. radiata,9/10/2012,Elv,640,Dry,303,leaf,8.89,34.91
E. radiata,9/10/2012,Elv,640,Dry,303,stem,7.63,7.75
E. radiata,9/10/2012,Elv,640,Dry,303,root,6.57,8.61
E. radiata,9/10/2012,Elv,640,Wet,308,leaf,112.96,50.63
E. radiata,9/10/2012,Elv,640,Wet,308,stem,19.80,29.97
E. radiata,9/10/2012,Elv,640,Wet,308,root,7.94,25.28
E. radiata,9/10/2012,Elv,640,Dry,309,leaf,10.74,47.41
E. radiata,9/10/2012,Elv,640,Dry,309,stem,9.11,7.41
E. radiata,9/10/2012,Elv,640,Dry,309,root,6.32,10.14
E. radiata,9/10/2012,Elv,640,Wet,311,leaf,85.68,68.43
E. radiata,9/10/2012,Elv,640,Wet,311,stem,22.15,24.52
E. radiata,9/10/2012,Elv,640,Wet,311,root,7.06,11.08
E. radiata,9/10/2012,Elv,640,Dry,314,leaf,9.03,51.58
E. radiata,9/10/2012,Elv,640,Dry,314,stem,8.23,11.38
E. radiata,9/10/2012,Elv,640,Dry,314,root,6.23,11.16
E. radiata,9/10/2012,Elv,640,Dry,319,leaf,9.61,50.75
E. radiata,9/10/2012,Elv,640,Dry,319,stem,7.50,23.67
E. radiata,9/10/2012,Elv,640,Dry,319,root,6.98,8.11
E. radiata,9/10/2012,Elv,400,Wet,403,leaf,73.52,39.57
E. radiata,9/10/2012,Elv,400,Wet,403,stem,10.94,18.40
E. radiata,9/10/2012,Elv,400,Wet,403,root,7.18,6.88
E. radiata,9/10/2012,Elv,400,Dry,404,leaf,10.99,59.49
E. radiata,9/10/2012,Elv,400,Dry,404,stem,7.31,9.40
E. radiata,9/10/2012,Elv,400,Dry,404,root,6.68,8.01
E. radiata,9/10/2012,Elv,400,Dry,406,leaf,11.81,46.45
E. radiata,9/10/2012,Elv,400,Dry,406,stem,8.83,10.49
E. radiata,9/10/2012,Elv,400,Dry,406,root,5.85,7.78
E. radiata,9/10/2012,Elv,400,Wet,408,leaf,72.94,43.72
E. radiata,9/10/2012,Elv,400,Wet,408,stem,12.50,31.69
E. radiata,9/10/2012,Elv,400,Wet,408,root,10.26,17.92
E. radiata,9/10/2012,Elv,400,Dry,412,leaf,10.97,38.05
E. radiata,9/10/2012,Elv,400,Dry,412,stem,7.18,10.68
E. radiata,9/10/2012,Elv,400,Dry,412,root,6.99,6.05
E. radiata,9/10/2012,Elv,400,Dry,414,leaf,9.18,34.77
E. radiata,9/10/2012,Elv,400,Dry,414,stem,8.32,16.33
E. radiata,9/10/2012,Elv,400,Dry,414,root,5.60,7.60
E. radiata,9/10/2012,Elv,400,Wet,416,leaf,71.82,64.16
E. radiata,9/10/2012,Elv,400,Wet,416,stem,11.00,16.30
E. radiata,9/10/2012,Elv,400,Wet,416,root,9.99,14.33
E. radiata,9/10/2012,Amb,400,Wet,501,leaf,10.72,29.50
E. radiata,9/10/2012,Amb,400,Wet,501,stem,13.63,21.01
E. radiata,9/10/2012,Amb,400,Wet,501,root,7.03,9.82
E. radiata,9/10/2012,Amb,400,Dry,502,leaf,11.34,47.09
E. radiata,9/10/2012,Amb,400,Dry,502,stem,9.25,8.74
E. radiata,9/10/2012,Amb,400,Dry,502,root,6.83,8.46
E. radiata,9/10/2012,Amb,400,Dry,504,leaf,10.89,44.19
E. radiata,9/10/2012,Amb,400,Dry,504,stem,8.48,10.07
E. radiata,9/10/2012,Amb,400,Dry,504,root,6.14,6.62
E. radiata,9/10/2012,Amb,400,Dry,506,leaf,10.53,57.50
E. radiata,9/10/2012,Amb,400,Dry,506,stem,8.19,9.99
E. radiata,9/10/2012,Amb,400,Dry,506,root,6.46,7.91
E. radiata,9/10/2012,Amb,400,Wet,507,leaf,28.31,37.42
E. radiata,9/10/2012,Amb,400,Wet,507,stem,23.56,21.38
E. radiata,9/10/2012,Amb,400,Wet,507,root,7.90,16.00
E. radiata,9/10/2012,Amb,400,Dry,519,leaf,9.54,29.72
E. radiata,9/10/2012,Amb,400,Dry,519,stem,9.51,21.11
E. radiata,9/10/2012,Amb,400,Dry,519,root,7.00,10.40
E. radiata,9/10/2012,Amb,400,Wet,520,leaf,24.24,71.63
E. radiata,9/10/2012,Amb,400,Wet,520,stem,21.42,23.87
E. radiata,9/10/2012,Amb,400,Wet,520,root,8.00,14.23
E. radiata,9/10/2012,Amb,640,Wet,602,leaf,34.17,52.71
E. radiata,9/10/2012,Amb,640,Wet,602,stem,24.68,16.91
E. radiata,9/10/2012,Amb,640,Wet,602,root,7.30,9.97
E. radiata,9/10/2012,Amb,640,Wet,603,leaf,43.99,46.74
E. radiata,9/10/2012,Amb,640,Wet,603,stem,20.57,25.89
E. radiata,9/10/2012,Amb,640,Wet,603,root,7.86,13.90
E. radiata,9/10/2012,Amb,640,Wet,605,leaf,27.99,36.55
E. radiata,9/10/2012,Amb,640,Wet,605,stem,14.91,22.58
E. radiata,9/10/2012,Amb,640,Wet,605,root,8.25,17.52
E. radiata,9/10/2012,Amb,640,Dry,607,leaf,10.52,46.54
E. radiata,9/10/2012,Amb,640,Dry,607,stem,9.83,16.64
E. radiata,9/10/2012,Amb,640,Dry,607,root,5.72,8.11
E. radiata,9/10/2012,Amb,640,Dry,610,leaf,9.03,39.87
E. radiata,9/10/2012,Amb,640,Dry,610,stem,9.31,18.96
E. radiata,9/10/2012,Amb,640,Dry,610,root,7.25,11.75
E. radiata,9/10/2012,Amb,640,Dry,611,leaf,10.40,58.89
E. radiata,9/10/2012,Amb,640,Dry,611,stem,7.93,18.71
E. radiata,9/10/2012,Amb,640,Dry,611,root,7.72,10.16
E. radiata,9/10/2012,Amb,640,Dry,614,leaf,11.42,60.29
E. radiata,9/10/2012,Amb,640,Dry,614,stem,9.85,15.12
E. radiata,9/10/2012,Amb,640,Dry,614,root,6.51,7.38
